slug,label,supplierId,pvp,net
diving-puerto-colon,Per person,atlantis,75,35
fly-fish-puerto-colon,Per person,watersport,18,12
helidream-helicopter-tour,South Coast — 7 min,helidreams,110,93.50
helidream-helicopter-tour,Beaches & Cliffs — 10 min,helidreams,159,135.15
helidream-helicopter-tour,Los Gigantes — 18 min,helidreams,295,250.75
helidream-helicopter-tour,Isla Baja — 25 min,helidreams,430,365.50
helidream-helicopter-tour,Gran Teide — 40 min,helidreams,545,463.25
paragliding,Per person,rob-paragliding,110,60
parascending-puerto-colon,Adult,aj-fly,60,40
parascending-puerto-colon,Child,aj-fly,60,40
safari-kayak-tour-los-cristianos,Adult,atlantis,45,25
safari-kayak-tour-los-cristianos,Child,atlantis,22,12.5
kayaking-stand-up-paddle-los-cristianos,Per person,atlantis,23,13
stand-up-paddle-la-caleta,Per person,atlantis,60,30
banana-puerto-colon,Per person,watersport,18,12
arriro-boat,Per person,arriro,50,22.5
cool-sailing,Per person,cool-sailing,60,25
kosamui-boat,Per person,kosamui,50,25
atlanca-boat-rental,Per person,atlanca,85,55
freebird-catamaran,Adult (3h),freebird,47,22
freebird-catamaran,Adult (4.5h),freebird,62,32
freebird-catamaran,Child 4-11 (3h),freebird,23.5,11
freebird-catamaran,Child 4-11 (4.5h),freebird,31,16
freebird-catamaran,Baby (under 4),freebird,0,0
fishing-boat-puerto-colon,Per person,happy-hooker,70,50
maxicat-catamaran,Adult,maxicat,45,25
maxicat-catamaran,Child (6-11),maxicat,22.5,12.5
maxicat-catamaran,Baby (under 6),maxicat,0,25
monte-cristo-catamaran,Adult,monte-cristo,62,40
monte-cristo-catamaran,Child (0-11),monte-cristo,49,36
neptuno-boat,Adult,shogun-neptuno,63,42
neptuno-boat,Child (3-11),shogun-neptuno,31.5,21
neptuno-boat,Baby (0-2),shogun-neptuno,0,42
diamant-boat,Per person,opera,80,45
peter-pan-boat,Adult,peter-pan,27,16
peter-pan-boat,Child (3-11),peter-pan,13.5,8
peter-pan-boat,Baby (0-2),peter-pan,0,16
raggie-tenerife-fishing,Fisher — 4h,raggie-fishing,85,60
raggie-tenerife-fishing,Companion — 4h,raggie-fishing,79,50
ragnarok-viking-boat,Adult (2h),viking,30,21
ragnarok-viking-boat,Adult (3h),viking,44.5,31.15
ragnarok-viking-boat,Child 4-11 (2h),viking,15,10.5
ragnarok-viking-boat,Child 4-11 (3h),viking,25,17.5
ragnarok-viking-boat,Baby (under 4),viking,0,0
royal-delfin-boat,Adult (3h),royal-delfin,50,35
royal-delfin-boat,Adult (4.5h),royal-delfin,63,44.1
royal-delfin-boat,Child 3-11 (3h),royal-delfin,30,21
royal-delfin-boat,Child 3-11 (4.5h),royal-delfin,40,28
royal-delfin-boat,Baby (under 2),royal-delfin,0,0
shogun-boat,Adult,shogun-neptuno,60,37
shogun-boat,Child (3-11),shogun-neptuno,30,18.5
shogun-boat,Baby (0-2),shogun-neptuno,0,37
sonador-boat,Adult,sonador,50,25
sonador-boat,Child (3-9),sonador,27.5,12.5
sonador-boat,Baby (0-2),sonador,0,12.5
buggy-teide-adventure,Per buggy (2 people),hub-buggy,180,80
buggy-sunset-adventure,Per buggy (2 people),hub-buggy,180,80
teide-icod-garachico-masca,Adult,nere,58,46.4
teide-icod-garachico-masca,Child,nere,45,36
island-tour-masca,Per person,nere,50,33
la-gomera,Adult,nere,145,125
la-gomera,Child,nere,118,105.25
teide-by-night,Adult,ozzy,70,48
teide-by-night,Child,ozzy,60,38
teide-tour-cable-car,Adult,nere,46,45
teide-tour-cable-car,Child,nere,36,35
santa-cruz--la-laguna--anaga,Adult,nere,85,50
santa-cruz--la-laguna--anaga,Child,nere,70,45
booster-pack-puerto-colon,Per person,watersport,110,45
